"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"14253","Normal/Others","WS/MP18072/2025-2026/213975-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Chandkuiya Panchayat Golmara Charkonia Talab to Rani Road","DULU MAHATO","DHANBAD","Images","20-Jan-2026","400000"
"14254","Normal/Others","WS/MP18072/2025-2026/215855-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Shakti Nagar to Hanuman Nagar in Bagula Basti","DULU MAHATO","DHANBAD","Images","17-Dec-2025","300000"
"14255","Normal/Others","WS/MP423/2025-2026/200489-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Construction of CC Road from House of Bhavani Sardar to House of Swapan Das. (Length - 121.9 mtr, Width - 02 Mtr)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Images","29-Aug-2025","300000"
"14256","Normal/Others","WS/MP18072/2025-2026/215321-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Bhagat Singh Colony Near Mahendra Service Centre Construction of PCC road from Raj Prasad house to Vikash Gupta  house","DULU MAHATO","DHANBAD","Images","20-Jan-2026","300000"
"14257","Normal/Others","WS/MP18072/2025-2026/213930-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Kundan Paswan house in Bastakola to Sanjay Kumar  house","DULU MAHATO","DHANBAD","Images","26-Sep-2025","400000"
"14258","Normal/Others","WS/MP18072/2025-2026/213934-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Arjun Turi  house to Ganesh Turi house in Digwadih Manjhi Basti","DULU MAHATO","DHANBAD","Images","26-Feb-2026","400000"
"14259","Normal/Others","WS/MP18072/2025-2026/213933-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Jamadoba Azad Nagar, Sujeet Sinha office to Pila Ground","DULU MAHATO","DHANBAD","Images","13-Nov-2025","400000"
"14260","Normal/Others","WS/MP18072/2025-2026/213932-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Enaa Colliery Rajapur Hospital via Bapi Bauri  house","DULU MAHATO","DHANBAD","Images","26-Sep-2025","400000"
"14261","Normal/Others","WS/MP18072/2025-2026/213931-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Roop Rang Studio at Fusbangla to Ambedkar Chowk via Hanuman Mandir Munda Patti","DULU MAHATO","DHANBAD","Images","13-Nov-2025","400000"
"14262","Normal/Others","WS/MP18072/2025-2026/213938-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Manoj Mistry house in Dharma Nagar Chauthai Kulhi Jharia to Upendra Singh house","DULU MAHATO","DHANBAD","Images","20-Jan-2026","300000"
"14263","Normal/Others","WS/MP18072/2025-2026/213943-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Liberty Pahadi Ankur Hadi  house in Bastacola to Kamta Gupta house","DULU MAHATO","DHANBAD","Images","26-Sep-2025","400000"
"14264","Normal/Others","WS/MP18111/2025-2026/187509-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AKOLA(DISTRICT COLLECTOR AKOLA_IDA)","Construction of Cement Road at Khaparkhed from house of Balu Pote to house of Daberao","ANUP SANJAY DHOTRE","AKOLA","Images","09-Oct-2025","958282"
"14265","Normal/Others","WS/MP18020/2025-2026/207099-Construction of community centers and community halls","Assam","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","Construction of Dining Hall near Sri Sri Shiva Mandir, Shantidham Nalbari","PHANI BHUSAN CHOUDHURY","BARPETA","Images","05-Feb-2026","1000000"
"14266","Normal/Others","WS/MP18072/2025-2026/213944-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Anil Bauri  house to Ramrati Devi house in Bastakola Rise area","DULU MAHATO","DHANBAD","Images","26-Sep-2025","400000"
"14267","Normal/Others","WS/MP18072/2025-2026/213974-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from R K Rawani  house to Nitesh Seth house in Anand Bihar Colony of Udaipur Panchayat.","DULU MAHATO","DHANBAD","Images","26-Feb-2026","200000"
"14268","Normal/Others","WS/MP18072/2025-2026/213976-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Rampad Hansda  house to Rajesh Kumar  house at Sukhdev Nagar in Kurmidih Panchayat.","DULU MAHATO","DHANBAD","Images","10-Nov-2025","400000"
"14269","Normal/Others","WS/MP18072/2025-2026/214198-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road at Asanbani 1 Mishradih Tola","DULU MAHATO","DHANBAD","Images","10-Nov-2025","300000"
"14270","Normal/Others","WS/MP18072/2025-2026/214200-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Dr Manoj house to Yadav Tola in Govindpur Purvi Panchayat","DULU MAHATO","DHANBAD","Images","10-Nov-2025","200000"
"14271","Normal/Others","WS/MP18072/2025-2026/214199-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Quarter No. FD7 to FD1","DULU MAHATO","DHANBAD","Images","26-Sep-2025","400000"
"14272","Normal/Others","WS/MP18072/2025-2026/214201-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of PCC road from Shri Hari Shankar Singh  residence at Shiv Shakti Colony Kangalo Jialgada to Jialgoda Primary School","DULU MAHATO","DHANBAD","Images","17-Dec-2025","300000"
"14273","Normal/Others","WS/MP18072/2025-2026/214260-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of road from Chhath Talab to Durga temple near Hilmex Hospital in Govindpur village","DULU MAHATO","DHANBAD","Images","10-Nov-2025","400000"
"14274","Normal/Others","WS/MP18072/2025-2026/208437-Construction of common work sheds/ common covered sitting area","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Construction of shed near Ranjit modi house in Shivlibadi Middle Panchayat","DULU MAHATO","DHANBAD","Images","13-Nov-2025","350000"
"14275","Normal/Others","WS/MP719/2024-2025/154862-Construction of community centers and community halls","Rajasthan","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Construction of Open Community Hall near sendriya road , Jal ka devra gram panchayat Bandanwara","Bhagirath Chaudhary","AJMER","Images","29-Aug-2025","192224"
"14276","Repair and Renovation","WS/MP18137/2025-2026/161414-Construction of rooms and halls in school and colleges","Meghalaya","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","Financial assistance for Repair of School Building the Office of Dorbar Shnong Shangpung Mission","ANDREW J. SYNGKON","SHILLONG","N/A","13-Jan-2026","150000"
"14277","Normal/Others","WS/MP243/2025-2026/141134-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera","Kakoli Ghosh Dastidar","BARASAT","N/A","29-Aug-2025","112000"
"14278","Normal/Others","WS/MP243/2025-2026/141133-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14279","Normal/Others","WS/MP243/2025-2026/141132-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14280","Normal/Others","WS/MP243/2025-2026/141136-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14281","Normal/Others","WS/MP243/2025-2026/141131-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14282","Normal/Others","WS/MP243/2025-2026/141130-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14283","Normal/Others","WS/MP243/2025-2026/141146-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14284","Normal/Others","WS/MP243/2025-2026/141144-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14285","Normal/Others","WS/MP243/2025-2026/141145-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14286","Normal/Others","WS/MP243/2025-2026/141143-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14287","Normal/Others","WS/MP18351/2025-2026/216730-Installing tube-wells and borewells","Andhra Pradesh","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","Drilling of new borewell for water supply scheme near SC Colony.","DR BYREDDY SHABARI","NANDYAL","Images","29-Aug-2025","199939"
"14288","Normal/Others","WS/MP18351/2025-2026/216722-Installing tube-wells and borewells","Andhra Pradesh","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","Drilling of new borewell for water supply scheme near MP Elementary School, Pedda Malkapuram Hamlet of Chinna Malkapuram GP, Dhone Mandalam","DR BYREDDY SHABARI","NANDYAL","Images","29-Aug-2025","199955"
"14289","Normal/Others","WS/MP18181/2025-2026/229133-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Construction of BT Road at Karikalan Cholan Street 1,2 in Ward No.5 of Suleeswaranpatti Town Panchayat","ESWARASAMY K","POLLACHI","Images","29-Aug-2025","1200000"
"14290","Normal/Others","WS/MP761/2025-2026/172389-Installation of multi-gym equipment","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Installation of multi-gym equipment in Marampally (V) Donkeshwar (M)","Arvind Dharmapuri","NIZAMABAD","N/A","29-Aug-2025","399285"
"14291","Normal/Others","WS/MP18104/2025-2026/209879-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","construction of cc road required from house of sh laxman keer to house of sh arvind rajput length 120 meter.","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","Images","31-Dec-2025","299973"
"14292","Normal/Others","WS/MP423/2025-2026/197176-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Construction of CC road with pilling from House of Asmot Khan to House of Jamad Sekh. (Length- 140.2 Mtr, Width- 02 Mtr)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Images","29-Aug-2025","300000"
"14293","Normal/Others","WS/MP243/2025-2026/141140-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14294","Normal/Others","WS/MP243/2025-2026/141142-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14295","Normal/Others","WS/MP243/2025-2026/141141-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14296","Normal/Others","WS/MP410/2025-2026/197290-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Assam","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Construction of building for Jan Aushadhi Kendra at Silapathar Model Hospital Campus, Sissiborgaon LAC under MPLADS, for the year 2025-26","Pradan Baruah","LAKHIMPUR","Images","29-Aug-2025","250000"
"14297","Normal/Others","WS/MP243/2025-2026/141139-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14298","Normal/Others","WS/MP522/2025-2026/168686-Construction of community centers and community halls","Andhra Pradesh","SRIKAKULAM(District Collector Srikakulam_IDA)","Construction of Community Hall at Lollaputtuga Village of B.G.Puttuga GP of Kacviti mandal","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","N/A","22-Apr-2026","499598"
"14299","Normal/Others","WS/MP243/2025-2026/141148-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14300","Normal/Others","WS/MP243/2025-2026/141147-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Cc tv camera (30)","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14301","Normal/Others","WS/MP243/2025-2026/152043-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","hers  	  Providing CCTV camera system for security of public areas","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
"14302","Normal/Others","WS/MP243/2025-2026/152042-Providing CCTV camera system for security of public areas","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","hers  	  Providing CCTV camera system for security of public areas","Kakoli Ghosh Dastidar","BARASAT","Images","29-Aug-2025","112000"
